,id,surface,pos,len
416,14980,['富'],"['名詞,一般,*,*']",1
417,15046,['育'],"['名詞,固有名詞,人名,名']",1
418,15072,['返'],"['動詞,自立,*,*']",1
419,15079,['子'],"['名詞,一般,*,*']",1
420,15130,['克'],"['名詞,固有名詞,人名,名']",1
421,15197,['典'],"['名詞,一般,*,*']",1
422,15227,['守'],"['名詞,サ変接続,*,*']",1
423,15235,['石'],"['名詞,一般,*,*']",1
424,15245,['建'],"['名詞,一般,*,*']",1
425,15372,['関'],"['名詞,固有名詞,人名,姓']",1
426,15379,['港'],"['名詞,固有名詞,組織,*']",1
427,15405,['ο'],"['記号,アルファベット,*,*']",1
428,15416,['Μ'],"['記号,アルファベット,*,*']",1
429,15504,['町'],"['名詞,一般,*,*']",1
430,15551,['戸'],"['名詞,一般,*,*']",1
431,15647,['同'],"['接頭詞,名詞接続,*,*']",1
432,15685,['ス'],"['名詞,固有名詞,組織,*']",1
433,15718,['∈'],"['名詞,サ変接続,*,*']",1
434,15734,['學'],"['名詞,固有名詞,人名,名']",1
435,15742,['当'],"['名詞,一般,*,*']",1
436,15749,['原'],"['名詞,固有名詞,人名,姓']",1
437,15778,['ロ'],"['名詞,固有名詞,組織,*']",1
438,15792,['广'],"['名詞,固有名詞,組織,*']",1
439,15796,['藤'],"['名詞,一般,*,*']",1
440,15821,['Φ'],"['記号,アルファベット,*,*']",1
441,15891,['丁'],"['名詞,固有名詞,人名,姓']",1
442,15964,['▁####'],"['名詞,サ変接続,*,*']",1
443,16005,['寺'],"['名詞,一般,*,*']",1
444,16016,['イ'],"['名詞,固有名詞,組織,*']",1
445,16074,['章'],"['名詞,固有名詞,人名,名']",1
446,16086,['孝'],"['名詞,一般,*,*']",1
447,16087,['安'],"['形容詞,自立,*,*']",1
448,16136,['火'],"['名詞,一般,*,*']",1
449,16187,['¶'],"['名詞,サ変接続,*,*']",1
450,16242,"['├', '─', '─']","['名詞,サ変接続,*,*', '記号,一般,*,*', '記号,一般,*,*']",3
451,16256,['ン'],"['名詞,固有名詞,組織,*']",1
452,16305,['ト'],"['名詞,固有名詞,組織,*']",1
453,16322,['）'],"['記号,括弧閉,*,*']",1
454,16324,['座'],"['名詞,一般,*,*']",1
455,16339,['ッ'],"['名詞,固有名詞,組織,*']",1
456,16437,['別'],"['名詞,一般,*,*']",1
457,16469,['│'],"['名詞,サ変接続,*,*']",1
458,16474,['キ'],"['名詞,固有名詞,組織,*']",1
459,16482,['世'],"['名詞,一般,*,*']",1
460,16488,['河'],"['名詞,一般,*,*']",1
461,16578,['支'],"['名詞,固有名詞,組織,*']",1
462,16612,['Τ'],"['記号,アルファベット,*,*']",1
463,16663,['改'],"['名詞,一般,*,*']",1
464,16669,['模'],"['名詞,サ変接続,*,*']",1
465,16686,['明'],"['名詞,固有名詞,人名,名']",1
466,16712,['作'],"['名詞,一般,*,*']",1
467,16751,['象'],"['名詞,一般,*,*']",1
468,16793,['然'],"['副詞,一般,*,*']",1
469,16859,['微'],"['接頭詞,名詞接続,*,*']",1
470,16865,['セ'],"['名詞,一般,*,*']",1
471,16982,['音'],"['名詞,一般,*,*']",1
472,16985,['べ'],"['助詞,終助詞,*,*']",1
473,17050,['属'],"['名詞,サ変接続,*,*']",1
474,17066,['▁°'],"['名詞,サ変接続,*,*']",1
475,17069,['初'],"['名詞,一般,*,*']",1
476,17098,['ニ'],"['名詞,固有名詞,組織,*']",1
477,17109,['┼'],"['名詞,サ変接続,*,*']",1
478,17124,['’'],"['記号,括弧閉,*,*']",1
479,17181,['持'],"['名詞,サ変接続,*,*']",1
480,17203,['い'],"['動詞,自立,*,*']",1
481,17209,['ァ'],"['その他,間投,*,*']",1
482,17253,['館'],"['名詞,固有名詞,人名,姓']",1
483,17292,['新'],"['名詞,一般,*,*']",1
484,17305,['○'],"['記号,一般,*,*']",1
485,17367,['ζ'],"['記号,アルファベット,*,*']",1
486,17368,['名'],"['名詞,一般,*,*']",1
487,17407,['▼'],"['記号,一般,*,*']",1
488,17409,['デ'],"['助詞,格助詞,一般,*']",1
489,17426,['朝'],"['名詞,副詞可能,*,*']",1
490,17488,['発'],"['名詞,一般,*,*']",1
491,17511,['限'],"['名詞,一般,*,*']",1
492,17515,['若'],"['形容詞,自立,*,*']",1
493,17526,['判'],"['名詞,一般,*,*']",1
494,17550,['設'],"['名詞,固有名詞,組織,*']",1
495,17602,['τ'],"['記号,アルファベット,*,*']",1
496,17625,['へ'],"['助詞,格助詞,一般,*']",1
497,17648,['命'],"['名詞,一般,*,*']",1
498,17657,['基'],"['名詞,一般,*,*']",1
499,17742,['ρ'],"['記号,アルファベット,*,*']",1
500,17780,['第'],"['接頭詞,数接続,*,*']",1
501,17818,['活'],"['名詞,一般,*,*']",1
502,17819,['食'],"['名詞,一般,*,*']",1
503,17842,['菜'],"['名詞,一般,*,*']",1
504,17891,['女'],"['名詞,一般,*,*']",1
505,17892,['流'],"['名詞,一般,*,*']",1
506,17894,['站'],"['名詞,固有名詞,組織,*']",1
507,17897,['―'],"['記号,一般,*,*']",1
